,date,BTC,ETH,MIOTA,ADA,XLM,LINK
0,2021-04-10,58106.85,2066.55,1.867,1.202,0.486,31.58
1,2021-04-11,59784.8,2133.82,2.086,1.218,0.5619,31.9
2,2021-04-12,59980.45,2150.54,2.093,1.263,0.5837,33.87
3,2021-04-13,59845.76,2137.79,1.996,1.315,0.5905,33.09
4,2021-04-14,63558.48,2298.66,2.176,1.413,0.6563,35.49
5,2021-04-15,62964.27,2431.86,2.107,1.453,0.6358,41.34
6,2021-04-16,63233.03,2517.08,2.193,1.48,0.6405,42.64
7,2021-04-17,61416.41,2425.96,2.521,1.412,0.6106,42.04
8,2021-04-18,60056.07,2318.01,2.337,1.373,0.5924,39.97
9,2021-04-19,56246.82,2240.96,2.374,1.279,0.5463,39.18
10,2021-04-20,55680.11,2163.36,2.087,1.196,0.5003,35.76
11,2021-04-21,56496.06,2332.45,2.195,1.269,0.529,39.03
12,2021-04-22,53803.25,2357.59,2.063,1.204,0.4896,36.29
13,2021-04-23,51717.61,2401.35,1.831,1.145,0.4506,35.19
14,2021-04-24,51178.03,2369.67,1.879,1.159,0.451,35.24
15,2021-04-25,50115.99,2216.56,1.669,1.105,0.4259,31.29
16,2021-04-26,49120.97,2322.14,1.639,1.092,0.4165,31.71
17,2021-04-27,54062.29,2534.9,1.988,1.238,0.4864,35.15
18,2021-04-28,55073.48,2667.93,2.2,1.309,0.5104,36.84
19,2021-04-29,54877.94,2750.91,2.185,1.338,0.4976,36.27
20,2021-04-30,53581.58,2758.46,2.1,1.308,0.4918,36.46
21,2021-05-01,57757.97,2775.96,2.135,1.354,0.5304,38.17
22,2021-05-02,57843.16,2947.8,2.108,1.353,0.54,41.25
23,2021-05-03,56623.51,2951.98,2.046,1.328,0.556,39.51
24,2021-05-04,57195.07,3431.41,2.08,1.363,0.5512,42.08
25,2021-05-05,53244.07,3241.09,1.832,1.273,0.5025,45.58
26,2021-05-06,57506.88,3528.86,2.029,1.48,0.6055,49.6
27,2021-05-07,56441.94,3491.74,2.215,1.649,0.6511,47.19
28,2021-05-08,57374.33,3483.96,2.178,1.655,0.6313,49.21
29,2021-05-09,58943.13,3916.25,2.155,1.623,0.6154,48.71
30,2021-05-10,58294.18,3927.06,2.257,1.77,0.6285,52.3
31,2021-05-11,55870.01,3949.77,2.005,1.645,0.6592,46.4
32,2021-05-12,56747.52,4178.02,2.109,1.764,0.7352,48.88
33,2021-05-13,49504.08,3811.29,1.788,1.559,0.5908,41.52
34,2021-05-14,49700.6,3718.99,1.956,1.929,0.6525,43.26
35,2021-05-15,49887.96,4080.13,1.94,2.009,0.6685,46.61
36,2021-05-16,46775.29,3644.04,1.854,2.175,0.6809,41.49
37,2021-05-17,46490.71,3586.18,1.992,2.307,0.7116,40.71
38,2021-05-18,43552.14,3280.73,1.845,2.031,0.6434,37.19
39,2021-05-19,42886.02,3377.65,1.877,2.006,0.6459,42.62
40,2021-05-20,36771.87,2442.89,1.122,1.471,0.4535,26.3
41,2021-05-21,40597.4,2772.84,1.314,1.802,0.4957,30.72
42,2021-05-22,37350.39,2435.86,1.1,1.551,0.4195,25.58
43,2021-05-23,37491.5,2297.03,1.018,1.465,0.3892,23.31
44,2021-05-24,34716.84,2098.57,0.901,1.316,0.3639,19.88
45,2021-05-25,38837.76,2648.77,1.052,1.551,0.4397,26.42
46,2021-05-26,38387.36,2707.49,1.062,1.554,0.4294,27.56
47,2021-05-27,39295.08,2888.94,1.27,1.782,0.4436,34.03
48,2021-05-28,38538.84,2742.48,1.161,1.654,0.4203,31.65
49,2021-05-29,35680.92,2412.36,1.034,1.514,0.399,27.88
50,2021-05-30,34611.58,2278.58,0.9681,1.404,0.3673,25.37
51,2021-05-31,35662.59,2386.91,1.023,1.576,0.3748,26.83
52,2021-06-01,37290.83,2707.38,1.111,1.74,0.4025,32.11
53,2021-06-02,36683.51,2634.23,1.112,1.735,0.4183,30.72
54,2021-06-03,37576.98,2706.52,1.269,1.754,0.419,30.67
55,2021-06-04,39229.66,2856.01,1.354,1.845,0.425,32.18
56,2021-06-05,36861.5,2691.17,1.25,1.708,0.3848,28.84
57,2021-06-06,35538.4,2629.76,1.208,1.657,0.3751,27.15
58,2021-06-07,35798.57,2710.99,1.242,1.677,0.3803,27.52
59,2021-06-08,33582.86,2593.12,1.092,1.565,0.3467,24.59
60,2021-06-09,33409.38,2509.23,1.137,1.584,0.3496,24.1
61,2021-06-10,37391.58,2610.64,1.175,1.627,0.3653,25.59
62,2021-06-11,36680.78,2471.56,1.104,1.533,0.3386,23.12
63,2021-06-12,37339.98,2355.09,1.039,1.436,0.3181,21.48
64,2021-06-13,35541.78,2369.62,1.012,1.477,0.3279,21.67
65,2021-06-14,39017.37,2509.7,1.088,1.559,0.3449,23.34
66,2021-06-15,40526.63,2582.12,1.124,1.577,0.3432,24.99
67,2021-06-16,40161.86,2543.6,1.117,1.556,0.3336,24.51
68,2021-06-17,38345.41,2367.7,1.058,1.484,0.3176,23.03
69,2021-06-18,38082.3,2372.31,1.093,1.482,0.3173,23.39
70,2021-06-19,35830.29,2233.57,1.005,1.415,0.2972,21.24
71,2021-06-20,35515.38,2166.61,0.9639,1.385,0.2892,20.28
72,2021-06-21,35602.26,2243.6,0.9596,1.426,0.2971,21.64
73,2021-06-22,31652.62,1887.89,0.7514,1.176,0.2361,17.4
74,2021-06-23,32537.58,1880.83,0.7123,1.155,0.2352,16.86
75,2021-06-24,33678.64,1968.56,0.7901,1.251,0.2557,18.38
76,2021-06-25,34649.84,1989.01,0.8349,1.358,0.2686,19.04
77,2021-06-26,31593.86,1810.27,0.7667,1.255,0.2415,16.89
78,2021-06-27,32307.35,1830.94,0.781,1.251,0.2493,16.96
79,2021-06-28,34713.81,1983.33,0.7913,1.337,0.2596,18.4
80,2021-06-29,34487.11,2083.8,0.8125,1.326,0.2636,18.8
81,2021-06-30,35901.41,2165.61,0.8379,1.371,0.2829,19.5
82,2021-07-01,35056.39,2276.14,0.8613,1.384,0.2841,19.49
83,2021-07-02,33543.11,2109.29,0.7961,1.336,0.2691,18.22
