,date,BTC,ETH,MIOTA,ADA,XLM,LINK
0,2020-08-01,11352.72,346.94,0.3002,0.1396,0.09701,7.811
1,2020-08-02,11812.42,387.45,0.313,0.1447,0.1077,8.323
2,2020-08-03,11063.5,371.93,0.2891,0.1343,0.1026,8.285
3,2020-08-04,11234.73,386.25,0.2997,0.1393,0.1052,9.268
4,2020-08-05,11194.18,389.79,0.3061,0.1435,0.1101,9.872
5,2020-08-06,11752.05,400.98,0.3059,0.1427,0.1076,9.534
6,2020-08-07,11771.27,395.04,0.3141,0.1445,0.1063,10.24
7,2020-08-08,11603.82,379.57,0.3169,0.1393,0.1031,10.14
8,2020-08-09,11770.77,397.56,0.3289,0.1469,0.1033,12.73
9,2020-08-10,11686.34,390.28,0.3454,0.1454,0.1052,13.83
10,2020-08-11,11897.41,395.71,0.3773,0.1442,0.1063,13.49
11,2020-08-12,11389.01,378.94,0.3654,0.137,0.1001,12.98
12,2020-08-13,11570.19,387.19,0.3734,0.1368,0.1015,16.48
13,2020-08-14,11790.68,424.97,0.3772,0.1394,0.1012,17.21
14,2020-08-15,11774.52,438.51,0.4057,0.1386,0.1051,16.98
15,2020-08-16,11860.91,432.57,0.4198,0.1386,0.1071,19.22
16,2020-08-17,11917.97,433.85,0.4244,0.139,0.1154,18.83
17,2020-08-18,12301.19,431.26,0.4117,0.1409,0.1139,16.86
18,2020-08-19,11956.69,422.19,0.3936,0.1372,0.1083,16.2
19,2020-08-20,11760.37,407.85,0.3727,0.1297,0.1021,16.18
20,2020-08-21,11863.43,416.04,0.399,0.1342,0.1072,16.05
21,2020-08-22,11527.35,387.98,0.3719,0.1229,0.09955,13.83
22,2020-08-23,11670.42,395.46,0.4038,0.1253,0.1022,15.84
23,2020-08-24,11651.52,390.72,0.3863,0.1215,0.1029,15.16
24,2020-08-25,11756.4,408.03,0.393,0.1237,0.103,15.14
25,2020-08-26,11330.56,383.34,0.3641,0.1126,0.09734,14.13
26,2020-08-27,11466.89,386.02,0.3554,0.1144,0.09804,15.2
27,2020-08-28,11331.02,382.99,0.3383,0.1073,0.09378,14.52
28,2020-08-29,11535.21,395.54,0.3502,0.1096,0.0957,15.12
29,2020-08-30,11480.48,398.95,0.3682,0.1166,0.09629,16.38
30,2020-08-31,11716.54,429.18,0.3651,0.1176,0.09825,16.47
31,2020-09-01,11657.81,434.14,0.362,0.1226,0.09684,15.6
32,2020-09-02,11926.69,475.99,0.3652,0.1247,0.09885,16.08
33,2020-09-03,11397.9,439.83,0.3381,0.1153,0.0924,14.78
34,2020-09-04,10174.62,382.46,0.2763,0.09523,0.07896,12.05
35,2020-09-05,10467.33,385.91,0.2898,0.102,0.08113,12.39
36,2020-09-06,10167.97,335.24,0.265,0.08985,0.07553,10.61
37,2020-09-07,10260.37,352.69,0.2868,0.09271,0.07745,12.79
38,2020-09-08,10379.08,353.7,0.2835,0.09351,0.0786,12.47
39,2020-09-09,10128.54,337.45,0.276,0.09104,0.0774,11.74
40,2020-09-10,10228.85,351.15,0.2868,0.09338,0.07834,12.35
41,2020-09-11,10345.68,368.09,0.2995,0.09714,0.08112,12.52
42,2020-09-12,10398.5,373.99,0.2911,0.097,0.08374,12.45
