,date,BTC,ETH,MIOTA,ADA,XLM,LINK
0,2021-02-19,51591.61,1939.61,1.489,0.9144,0.4967,32.46
1,2021-02-20,55933.47,1957.47,1.492,0.9267,0.5131,34.72
2,2021-02-21,55900.84,1915.12,1.38,1.118,0.4867,34.0
3,2021-02-22,57469.95,1935.14,1.41,1.101,0.4966,34.16
4,2021-02-23,54121.17,1778.07,1.306,1.099,0.4631,31.51
5,2021-02-24,48898.7,1578.19,1.09,0.9634,0.3867,25.97
6,2021-02-25,49738.17,1625.17,1.195,1.05,0.4057,28.12
7,2021-02-26,47082.87,1481.88,1.102,1.074,0.3805,24.68
8,2021-02-27,46324.5,1446.1,1.116,1.242,0.4005,25.16
9,2021-02-28,46191.39,1460.23,1.15,1.319,0.439,26.22
10,2021-03-01,45261.03,1422.58,1.125,1.315,0.4063,24.73
11,2021-03-02,49635.07,1571.49,1.208,1.297,0.4308,27.73
12,2021-03-03,48501.21,1488.67,1.182,1.225,0.4192,28.53
13,2021-03-04,50392.55,1568.65,1.21,1.215,0.4209,29.86
14,2021-03-05,48363.74,1538.37,1.267,1.113,0.4115,27.68
15,2021-03-06,48775.37,1529.75,1.329,1.16,0.405,27.87
16,2021-03-07,48892.8,1651.48,1.283,1.129,0.4018,28.17
17,2021-03-08,50964.18,1726.33,1.315,1.131,0.4126,28.58
18,2021-03-09,52405.02,1834.48,1.3,1.119,0.4182,31.84
19,2021-03-10,54928.7,1872.1,1.419,1.199,0.432,31.51
20,2021-03-11,55893.31,1795.63,1.306,1.133,0.4091,29.91
21,2021-03-12,57809.41,1827.06,1.394,1.125,0.4056,30.12
22,2021-03-13,57256.22,1767.77,1.324,1.032,0.3867,28.38
23,2021-03-14,61179.79,1921.18,1.378,1.101,0.407,29.75
24,2021-03-15,58998.89,1848.69,1.311,1.054,0.3889,28.56
25,2021-03-16,55665.01,1794.83,1.284,1.031,0.3841,27.47
26,2021-03-17,56925.01,1805.64,1.334,1.25,0.3954,27.93
27,2021-03-18,58909.0,1823.03,1.351,1.378,0.403,31.04
28,2021-03-19,57643.32,1776.16,1.323,1.231,0.3944,29.43
29,2021-03-20,58060.21,1809.76,1.332,1.296,0.3954,29.79
30,2021-03-21,58101.34,1805.49,1.406,1.201,0.4156,29.64
31,2021-03-22,57374.95,1783.94,1.409,1.187,0.4039,29.24
32,2021-03-23,54095.36,1682.05,1.472,1.102,0.3928,27.25
33,2021-03-24,54355.45,1668.69,1.651,1.115,0.3953,26.8
34,2021-03-25,52303.02,1583.24,1.407,1.069,0.3616,24.87
35,2021-03-26,51336.09,1586.98,1.341,1.097,0.3617,25.56
36,2021-03-27,55055.43,1699.89,1.443,1.215,0.3846,27.41
37,2021-03-28,55863.73,1713.94,1.398,1.177,0.3819,26.87
38,2021-03-29,55781.01,1686.74,1.389,1.19,0.3973,26.66
39,2021-03-30,57626.1,1816.48,1.509,1.203,0.4044,28.03
40,2021-03-31,58781.54,1841.4,1.555,1.213,0.4009,27.84
41,2021-04-01,58793.8,1919.08,1.535,1.192,0.4058,29.4
42,2021-04-02,58730.82,1967.67,1.582,1.184,0.4238,30.09
43,2021-04-03,58987.8,2134.46,1.625,1.191,0.4393,32.46
44,2021-04-04,57074.97,2009.19,1.475,1.164,0.4087,29.3
45,2021-04-05,58219.43,2076.62,1.554,1.182,0.4283,30.74
46,2021-04-06,59119.56,2107.73,1.724,1.212,0.5364,32.36
47,2021-04-07,58010.35,2112.29,1.799,1.254,0.5401,34.72
48,2021-04-08,55951.98,1964.18,1.659,1.174,0.4849,31.12
49,2021-04-09,58084.46,2081.11,1.886,1.219,0.5048,32.8
