,date,BTC,ETH,MIOTA,ADA,XLM,LINK
0,2019-01-01,3747.39,133.14,0.3606,0.04082,0.1097,0.2906
1,2019-01-02,3880.15,141.9,0.3753,0.04245,0.1157,0.3043
2,2019-01-03,3961.01,156.1,0.4013,0.04539,0.1195,0.3192
3,2019-01-04,3835.86,149.1,0.3866,0.04234,0.1132,0.3706
4,2019-01-05,3874.06,156.04,0.3829,0.04389,0.1152,0.4449
5,2019-01-06,3855.39,156.22,0.3739,0.04456,0.1132,0.3967
6,2019-01-07,4102.85,158.29,0.388,0.04929,0.1206,0.3973
7,2019-01-08,4050.4,152.25,0.376,0.04728,0.1239,0.3798
8,2019-01-09,4040.75,150.68,0.3682,0.04813,0.123,0.43
9,2019-01-10,4048.34,151.21,0.3735,0.05195,0.1243,0.4045
10,2019-01-11,3668.15,127.96,0.3138,0.04412,0.1085,0.3539
11,2019-01-12,3669.2,126.99,0.3158,0.04352,0.1053,0.4448
12,2019-01-13,3664.38,126.05,0.3139,0.04338,0.1063,0.4111
13,2019-01-14,3551.24,116.66,0.2878,0.03971,0.1024,0.4384
14,2019-01-15,3703.9,129.71,0.3095,0.04399,0.1086,0.4887
15,2019-01-16,3621.24,121.38,0.3004,0.04214,0.1064,0.5194
16,2019-01-17,3643.99,123.31,0.2991,0.04433,0.1069,0.4988
17,2019-01-18,3685.3,124.05,0.3132,0.04517,0.1083,0.4834
18,2019-01-19,3648.05,120.79,0.3085,0.04408,0.1058,0.4975
19,2019-01-20,3729.78,124.8,0.3167,0.04555,0.107,0.4908
20,2019-01-21,3567.73,118.48,0.2972,0.04305,0.1031,0.4867
21,2019-01-22,3571.92,117.12,0.3034,0.04266,0.103,0.5034
22,2019-01-23,3602.04,118.83,0.3083,0.04332,0.1031,0.541
23,2019-01-24,3572.05,117.09,0.2981,0.04319,0.1022,0.5092
24,2019-01-25,3598.52,117.28,0.2962,0.04311,0.1032,0.5073
25,2019-01-26,3582.89,115.73,0.2881,0.04364,0.09939,0.4776
26,2019-01-27,3596.5,116.38,0.2839,0.04279,0.09849,0.4708
27,2019-01-28,3565.08,112.59,0.2725,0.04041,0.09463,0.4319
28,2019-01-29,3453.42,106.02,0.2581,0.03852,0.08661,0.4147
29,2019-01-30,3418.25,104.74,0.2555,0.03795,0.08291,0.4527
30,2019-01-31,3467.21,108.52,0.2659,0.03995,0.08515,0.4266
31,2019-02-01,3434.13,106.46,0.26,0.0383,0.08215,0.3867
32,2019-02-02,3461.63,106.72,0.2607,0.03856,0.0809,0.4169
33,2019-02-03,3508.68,110.56,0.2666,0.03885,0.08262,0.4171
34,2019-02-04,3449.62,107.04,0.2547,0.03793,0.07915,0.3969
35,2019-02-05,3431.24,106.61,0.2572,0.03763,0.0786,0.3923
36,2019-02-06,3447.66,106.57,0.2562,0.0382,0.07671,0.4202
37,2019-02-07,3394.89,104.26,0.2449,0.03637,0.07322,0.3994
38,2019-02-08,3375.33,103.69,0.257,0.03704,0.07442,0.401
39,2019-02-09,3660.03,119.24,0.2828,0.04058,0.0814,0.4371
40,2019-02-10,3652.26,118.84,0.2809,0.04091,0.08055,0.4642
41,2019-02-11,3685.14,125.22,0.287,0.04264,0.08018,0.453
42,2019-02-12,3611.34,120.26,0.2706,0.0423,0.07651,0.4291
43,2019-02-13,3617.41,121.87,0.2771,0.04149,0.07667,0.4264
44,2019-02-14,3605.87,121.73,0.274,0.0401,0.07574,0.4425
45,2019-02-15,3588.72,120.44,0.2694,0.04056,0.07648,0.4266
46,2019-02-16,3593.49,120.71,0.2755,0.04038,0.07924,0.4357
47,2019-02-17,3617.24,122.62,0.2771,0.04069,0.07949,0.4421
48,2019-02-18,3670.92,133.99,0.2814,0.0413,0.07973,0.4621
49,2019-02-19,3912.57,146.29,0.3099,0.04519,0.08316,0.4748
50,2019-02-20,3924.24,144.06,0.31,0.04586,0.09013,0.4566
