,date,BTC,ETH,MIOTA,ADA,XLM,LINK
0,2021-07-20,30847.55,1818.6,0.6199,1.122,0.2112,14.52
1,2021-07-21,29795.55,1786.52,0.5867,1.055,0.2121,13.75
2,2021-07-22,32139.48,1994.98,0.6385,1.169,0.2281,15.29
3,2021-07-23,32299.47,2024.74,0.6451,1.186,0.2637,16.08
4,2021-07-24,33637.92,2125.57,0.6727,1.207,0.2691,16.5
5,2021-07-25,34282.56,2185.98,0.7227,1.234,0.2671,16.7
6,2021-07-26,35369.93,2194.34,0.7332,1.229,0.2615,16.78
7,2021-07-27,37269.52,2228.67,0.7505,1.256,0.2605,18.06
8,2021-07-28,39496.69,2301.98,0.8664,1.28,0.2631,19.51
9,2021-07-29,40030.01,2301.12,0.8305,1.287,0.2699,19.09
10,2021-07-30,40030.52,2383.24,0.8366,1.284,0.2723,19.36
11,2021-07-31,42231.83,2463.61,0.8207,1.311,0.2797,22.29
12,2021-08-01,41474.72,2531.75,0.9152,1.318,0.2846,22.72
13,2021-08-02,39870.76,2556.41,0.8719,1.316,0.2752,22.08
14,2021-08-03,39158.53,2608.44,0.8835,1.31,0.2743,23.48
15,2021-08-04,38189.3,2508.21,0.84,1.368,0.274,23.93
16,2021-08-05,39738.56,2725.72,0.8635,1.377,0.2806,24.2
17,2021-08-06,40888.18,2829.23,0.8727,1.387,0.2804,24.07
18,2021-08-07,42852.18,2892.36,0.9072,1.402,0.2852,23.89
19,2021-08-08,44617.96,3162.43,0.9257,1.475,0.3075,24.71
20,2021-08-09,43827.75,3013.75,0.8693,1.427,0.2876,23.05
21,2021-08-10,46292.61,3164.94,0.9124,1.476,0.299,24.24
22,2021-08-11,45601.03,3141.67,0.9683,1.678,0.3101,24.56
23,2021-08-12,45556.69,3163.42,1.042,1.797,0.3376,25.92
24,2021-08-13,44425.52,3047.29,1.038,1.831,0.3285,24.95
25,2021-08-14,47832.93,3324.26,1.103,2.139,0.3601,27.76
26,2021-08-15,47102.03,3266.71,1.155,2.191,0.3951,27.17
27,2021-08-16,47015.94,3311.12,1.171,2.169,0.3913,27.91
28,2021-08-17,45927.4,3147.63,1.103,2.073,0.3716,27.96
29,2021-08-18,44684.43,3011.96,1.019,1.925,0.3412,26.14
30,2021-08-19,44714.54,3013.52,0.9971,2.105,0.3422,25.35
31,2021-08-20,46761.49,3184.74,1.056,2.441,0.3671,27.08
32,2021-08-21,49336.45,3286.5,1.106,2.457,0.3851,28.71
33,2021-08-22,48867.87,3226.59,1.07,2.437,0.3721,27.71
34,2021-08-23,49289.71,3241.65,1.167,2.713,0.3726,28.02
35,2021-08-24,49521.06,3322.71,1.152,2.917,0.379,28.56
36,2021-08-25,47690.54,3172.57,1.058,2.72,0.3506,25.78
37,2021-08-26,48996.44,3228.86,1.08,2.741,0.3591,26.61
38,2021-08-27,46852.22,3093.62,0.9694,2.533,0.3352,24.4
39,2021-08-28,49088.1,3275.87,1.043,2.946,0.3574,26.05
40,2021-08-29,48918.9,3246.78,1.013,2.849,0.3479,25.74
41,2021-08-30,48794.26,3225.3,1.006,2.854,0.3432,25.78
42,2021-08-31,46993.31,3228.46,0.967,2.736,0.3299,25.03
43,2021-09-01,47159.26,3435.17,0.9915,2.771,0.3406,26.74
44,2021-09-02,48840.01,3829.18,1.141,2.87,0.3536,29.74
45,2021-09-03,49280.77,3787.7,1.553,2.963,0.3592,29.97
46,2021-09-04,50019.51,3939.79,1.569,2.968,0.3689,30.78
47,2021-09-05,49935.29,3887.01,1.984,2.832,0.3699,29.9
48,2021-09-06,51784.16,3952.33,1.806,2.913,0.398,33.57
49,2021-09-07,52693.32,3928.4,1.801,2.835,0.4238,34.82
50,2021-09-08,46856.31,3433.48,1.514,2.511,0.3353,28.2
51,2021-09-09,46073.45,3499.69,1.518,2.471,0.3298,27.16
52,2021-09-10,46392.85,3424.24,1.566,2.517,0.3326,27.98
53,2021-09-11,44853.1,3209.41,1.537,2.383,0.3168,26.38
54,2021-09-12,45166.12,3266.43,1.505,2.636,0.325,27.0
55,2021-09-13,46049.72,3405.32,1.513,2.583,0.3329,29.44
56,2021-09-14,44958.56,3285.4,1.403,2.402,0.3187,26.96
57,2021-09-15,47129.01,3436.05,1.564,2.398,0.3312,30.83
58,2021-09-16,48148.45,3615.22,1.608,2.505,0.3411,30.7
59,2021-09-17,47764.47,3569.26,1.526,2.419,0.3308,29.81
60,2021-09-18,47297.98,3398.82,1.731,2.35,0.3193,27.71
61,2021-09-19,48312.46,3435.76,1.658,2.372,0.3222,28.39
62,2021-09-20,47251.76,3328.85,1.533,2.282,0.3135,27.39
63,2021-09-21,42925.46,2966.51,1.299,2.08,0.2808,23.46
64,2021-09-22,40709.59,2760.2,1.214,1.985,0.2659,21.4
65,2021-09-23,43576.15,3078.88,1.357,2.258,0.2927,24.48
66,2021-09-24,44893.87,3154.62,1.387,2.33,0.303,25.44
67,2021-09-25,42848.41,2930.86,1.262,2.281,0.2813,23.28
68,2021-09-26,42721.91,2925.34,1.224,2.302,0.2773,24.52
69,2021-09-27,43201.79,3064.21,1.175,2.209,0.2764,24.63
70,2021-09-28,42187.51,2927.73,1.14,2.132,0.2651,23.03
