,date,BTC,ETH,MIOTA,ADA,XLM,LINK
0,2020-05-09,9808.18,211.46,0.2017,0.0521,0.07268,3.804
1,2020-05-10,9541.13,210.19,0.1976,0.05151,0.07142,4.011
2,2020-05-11,8735.05,187.72,0.1835,0.04767,0.06432,3.765
3,2020-05-12,8568.88,185.77,0.1773,0.04796,0.06266,3.58
4,2020-05-13,8821.18,190.1,0.1855,0.05049,0.07024,3.698
5,2020-05-14,9317.44,199.86,0.1928,0.05168,0.07,3.769
6,2020-05-15,9793.19,203.31,0.2081,0.05111,0.0693,3.806
7,2020-05-16,9311.69,194.71,0.1972,0.05025,0.06727,3.658
8,2020-05-17,9387.08,200.6,0.1969,0.05097,0.06812,3.757
9,2020-05-18,9670.56,206.76,0.1992,0.05136,0.06883,3.785
10,2020-05-19,9722.73,214.68,0.2039,0.05422,0.07023,3.888
11,2020-05-20,9780.2,214.68,0.2022,0.05682,0.06979,3.95
12,2020-05-21,9509.45,209.87,0.1994,0.05692,0.0709,4.087
13,2020-05-22,9059.11,198.56,0.1884,0.05221,0.06649,3.829
14,2020-05-23,9170.74,207.35,0.2015,0.05578,0.06814,4.058
15,2020-05-24,9186.19,206.78,0.1995,0.05498,0.0672,3.929
16,2020-05-25,8718.49,199.91,0.1911,0.05169,0.06402,3.792
17,2020-05-26,8901.48,204.2,0.1969,0.0539,0.06618,3.862
18,2020-05-27,8844.5,201.04,0.1944,0.05348,0.06501,3.845
19,2020-05-28,9204.62,208.3,0.1965,0.05508,0.06599,3.857
20,2020-05-29,9579.71,220.33,0.2037,0.0648,0.06904,4.042
21,2020-05-30,9424.62,220.63,0.2015,0.06462,0.0678,3.979
22,2020-05-31,9699.78,243.66,0.2189,0.07709,0.07246,4.171
23,2020-06-01,9450.47,231.54,0.2207,0.0742,0.07061,4.132
24,2020-06-02,10211.23,248.44,0.2349,0.08108,0.07564,4.373
25,2020-06-03,9523.75,237.81,0.2341,0.07869,0.07946,4.405
26,2020-06-04,9666.06,244.65,0.2502,0.08539,0.08268,4.479
27,2020-06-05,9794.55,243.35,0.249,0.08882,0.0819,4.429
28,2020-06-06,9622.02,240.08,0.24,0.08526,0.07897,4.355
29,2020-06-07,9671.46,242.08,0.2437,0.08621,0.07961,4.353
30,2020-06-08,9750.7,244.75,0.2399,0.08655,0.07885,4.352
31,2020-06-09,9782.58,246.47,0.2408,0.0865,0.08015,4.479
32,2020-06-10,9779.7,244.0,0.247,0.08301,0.0782,4.443
33,2020-06-11,9891.84,248.01,0.2509,0.0836,0.07889,4.426
34,2020-06-12,9268.13,230.21,0.223,0.07514,0.07127,3.969
35,2020-06-13,9464.23,237.54,0.2252,0.07947,0.07282,4.08
36,2020-06-14,9474.65,238.21,0.2297,0.07912,0.07408,4.107
37,2020-06-15,9333.7,231.61,0.2229,0.07645,0.07074,3.935
38,2020-06-16,9429.65,230.98,0.2186,0.07821,0.07107,3.923
39,2020-06-17,9526.7,235.35,0.2198,0.07911,0.07141,4.048
40,2020-06-18,9459.13,233.74,0.2247,0.08328,0.07189,4.162
41,2020-06-19,9380.67,231.14,0.2236,0.08206,0.07048,4.141
42,2020-06-20,9301.83,228.83,0.2187,0.07972,0.0695,4.093
43,2020-06-21,9359.18,228.93,0.2166,0.0795,0.06979,4.169
44,2020-06-22,9292.81,227.95,0.2173,0.07846,0.06846,4.178
45,2020-06-23,9691.61,243.3,0.2316,0.0839,0.07191,4.483
46,2020-06-24,9624.3,243.11,0.2293,0.0828,0.07093,4.802
47,2020-06-25,9292.94,234.56,0.2209,0.08242,0.06897,4.709
48,2020-06-26,9241.32,232.35,0.2209,0.08175,0.06747,4.811
49,2020-06-27,9158.07,229.5,0.2155,0.08059,0.06687,4.675
50,2020-06-28,9007.14,220.77,0.2035,0.07732,0.06275,4.405
51,2020-06-29,9120.39,224.82,0.209,0.08018,0.06426,4.569
52,2020-06-30,9187.07,227.84,0.2154,0.08384,0.06508,4.618
53,2020-07-01,9136.47,225.49,0.2273,0.08369,0.06689,4.566
54,2020-07-02,9238.89,231.06,0.2295,0.09764,0.06839,4.709
55,2020-07-03,9092.8,226.59,0.2315,0.0933,0.0677,4.797
56,2020-07-04,9066.46,225.12,0.2239,0.09669,0.0671,4.738
57,2020-07-05,9142.2,229.19,0.2372,0.1001,0.06793,4.819
58,2020-07-06,9081.44,228.03,0.2357,0.09834,0.06736,4.756
59,2020-07-07,9347.05,241.81,0.2461,0.1051,0.07181,5.365
60,2020-07-08,9257.32,239.39,0.2438,0.1178,0.07338,5.723
61,2020-07-09,9439.2,247.02,0.2545,0.1302,0.08539,6.506
62,2020-07-10,9238.95,242.15,0.2546,0.1241,0.09049,6.082
63,2020-07-11,9288.57,241.22,0.2517,0.1185,0.08903,6.142
64,2020-07-12,9237.13,239.24,0.2492,0.1254,0.09428,6.1
65,2020-07-13,9300.95,242.66,0.2507,0.127,0.09549,7.349
66,2020-07-14,9237.89,239.54,0.2488,0.1245,0.09012,7.175
67,2020-07-15,9256.07,240.47,0.2491,0.1324,0.09217,8.124
68,2020-07-16,9193.22,238.47,0.2455,0.1305,0.0943,8.63
69,2020-07-17,9133.23,233.61,0.241,0.126,0.1024,8.344
70,2020-07-18,9156.79,232.77,0.2407,0.1225,0.104,8.255
71,2020-07-19,9177.22,235.85,0.239,0.1229,0.1008,7.974
72,2020-07-20,9216.02,239.16,0.2489,0.1241,0.1001,8.087
73,2020-07-21,9164.42,236.17,0.2507,0.1179,0.09444,7.237
74,2020-07-22,9392.83,245.87,0.2646,0.1232,0.09669,7.317
75,2020-07-23,9537.24,264.18,0.2786,0.1243,0.09768,7.485
76,2020-07-24,9615.21,275.65,0.2788,0.1243,0.09825,7.914
77,2020-07-25,9550.23,279.6,0.2678,0.1222,0.09582,7.444
78,2020-07-26,9708.41,305.67,0.2761,0.1439,0.1008,7.678
79,2020-07-27,9942.01,311.47,0.2692,0.1485,0.0991,7.502
80,2020-07-28,11042.94,322.23,0.2727,0.1389,0.09486,7.117
81,2020-07-29,10933.26,317.5,0.272,0.1492,0.09734,7.25
82,2020-07-30,11112.04,318.14,0.2858,0.14,0.09511,7.103
83,2020-07-31,11113.66,335.3,0.3015,0.1414,0.09647,7.422
