,date,BTC,ETH,MIOTA,ADA,XLM,LINK
0,2021-10-17,60877.77,3829.61,1.293,2.178,0.3965,27.23
1,2021-10-18,61520.54,3846.66,1.249,2.158,0.3835,26.53
2,2021-10-19,62038.16,3746.14,1.244,2.129,0.3797,25.7
3,2021-10-20,64283.97,3877.45,1.242,2.111,0.3739,25.92
4,2021-10-21,66021.02,4162.49,1.297,2.189,0.3918,27.49
5,2021-10-22,62283.96,4062.76,1.276,2.138,0.3734,28.27
6,2021-10-23,60693.59,3971.95,1.344,2.155,0.3723,28.67
7,2021-10-24,61313.09,4168.96,1.327,2.165,0.3781,31.39
8,2021-10-25,60863.56,4082.08,1.303,2.12,0.3722,29.71
9,2021-10-26,63089.04,4220.26,1.343,2.145,0.3881,32.39
