,date,BTC,ETH,MIOTA,ADA,XLM,LINK
0,2021-10-26,63089.04,4220.26,1.343,2.145,0.3881,32.39
1,2021-10-27,60315.68,4129.95,1.369,2.137,0.3731,32.51
2,2021-10-28,58464.42,3924.31,1.194,1.913,0.3305,28.88
3,2021-10-29,60610.11,4288.22,1.246,1.989,0.3427,30.2
4,2021-10-30,62282.5,4417.4,1.297,2.013,0.3618,30.92
5,2021-10-31,61891.91,4323.94,1.392,1.955,0.3587,29.79
6,2021-11-01,61349.75,4290.1,1.466,1.966,0.3732,30.02
7,2021-11-02,60960.98,4322.79,1.404,1.949,0.3663,31.69
8,2021-11-03,63260.05,4593.15,1.393,1.971,0.3824,32.28
9,2021-11-04,62929.93,4604.4,1.364,2.064,0.3853,31.97
