,date,BTC,ETH,MIOTA,ADA,XLM,LINK
0,2019-09-02,9768.36,171.34,0.241,0.04498,0.06261,1.78
1,2019-09-03,10387.5,178.77,0.2494,0.04565,0.06314,1.833
2,2019-09-04,10625.1,179.03,0.2497,0.04693,0.06315,1.854
3,2019-09-05,10585.2,174.97,0.2473,0.04555,0.0619,1.784
4,2019-09-06,10556.16,173.65,0.2426,0.0445,0.06053,1.794
5,2019-09-07,10309.91,169.08,0.2304,0.04449,0.05837,1.722
6,2019-09-08,10491.96,178.15,0.2409,0.04636,0.06066,1.778
7,2019-09-09,10420.88,181.74,0.2443,0.04677,0.06118,1.83
8,2019-09-10,10314.88,180.72,0.2389,0.04699,0.06052,1.794
9,2019-09-11,10109.46,179.95,0.2389,0.04671,0.0598,1.802
10,2019-09-12,10165.01,178.29,0.2383,0.04497,0.05911,1.732
11,2019-09-13,10428.96,181.05,0.237,0.04564,0.05862,1.706
12,2019-09-14,10372.29,181.52,0.2419,0.04608,0.058,1.585
13,2019-09-15,10365.56,188.65,0.2476,0.04657,0.05893,1.57
14,2019-09-16,10313.02,189.24,0.249,0.04702,0.05844,1.614
15,2019-09-17,10271.79,197.63,0.2495,0.04724,0.05879,1.588
16,2019-09-18,10198.62,207.85,0.2614,0.04898,0.06348,1.624
17,2019-09-19,10163.38,210.38,0.2977,0.053,0.083,1.81
18,2019-09-20,10281.03,221.04,0.2983,0.05249,0.08092,1.88
19,2019-09-21,10176.38,218.18,0.3141,0.05254,0.07212,1.823
20,2019-09-22,9988.38,215.25,0.2931,0.05202,0.06965,1.88
21,2019-09-23,10036.98,211.28,0.2783,0.04909,0.06858,1.819
22,2019-09-24,9694.6,200.97,0.2774,0.04623,0.06353,1.802
23,2019-09-25,8542.54,166.66,0.2532,0.0376,0.05386,1.724
24,2019-09-26,8446.97,170.38,0.262,0.03917,0.05739,1.75
25,2019-09-27,8074.99,166.1,0.266,0.03792,0.05845,1.655
