,date,BTC,ETH,MIOTA,ADA,XLM,LINK
0,2021-09-29,41056.79,2807.44,1.047,2.039,0.2566,22.09
1,2021-09-30,41539.43,2850.87,1.04,2.066,0.2697,22.86
2,2021-10-01,43829.34,3000.83,1.147,2.116,0.2788,24.0
3,2021-10-02,48164.35,3310.63,1.319,2.255,0.3005,26.32
4,2021-10-03,47669.02,3389.48,1.268,2.25,0.3167,26.93
5,2021-10-04,48234.05,3420.14,1.212,2.254,0.315,27.58
6,2021-10-05,49276.91,3384.5,1.197,2.192,0.3101,26.62
7,2021-10-06,51504.27,3516.09,1.23,2.234,0.3189,27.23
8,2021-10-07,55345.85,3576.08,1.287,2.211,0.3578,26.81
9,2021-10-08,53797.21,3588.12,1.276,2.279,0.3436,26.83
10,2021-10-09,53949.29,3562.84,1.324,2.237,0.3362,26.38
11,2021-10-10,54968.04,3576.4,1.379,2.269,0.3532,27.43
12,2021-10-11,54700.24,3416.49,1.395,2.193,0.3313,25.56
13,2021-10-12,57498.8,3544.14,1.44,2.172,0.3445,25.23
14,2021-10-13,56010.9,3490.61,1.341,2.118,0.3326,24.62
15,2021-10-14,57369.0,3607.55,1.357,2.188,0.3679,25.66
16,2021-10-15,57359.21,3791.23,1.356,2.173,0.3698,26.72
17,2021-10-16,61684.96,3868.16,1.295,2.218,0.3614,26.99
18,2021-10-17,60877.77,3829.61,1.293,2.178,0.3965,27.23
