#,PAIR,AMOUNT,PRICE,FEE,FEE PERC,FEE CURRENCY,DATE,ORDER ID
705098595,IOT/BTC,700,0.00003828,-0.7,0.10%,IOT,13-05-2021 18:47:14,64938740350
682717546,IOT/BTC,0.00000869,0.00003675,-1e-8,0.12%,IOT,26-04-2021 15:25:11,63554158507
682717545,IOT/BTC,550.88977,0.00003675,-0.55088977,0.10%,IOT,26-04-2021 15:25:11,63554158507
682717544,IOT/BTC,100,0.00003675,-0.1,0.10%,IOT,26-04-2021 15:25:11,63554158507
682717543,IOT/BTC,100,0.00003675,-0.1,0.10%,IOT,26-04-2021 15:25:11,63554158507
682717542,IOT/BTC,1700.95054493,0.00003675,-1.70095054493,0.10%,IOT,26-04-2021 15:25:11,63554158507
682717541,IOT/BTC,348.15967638,0.00003675,-0.34815967638,0.10%,IOT,26-04-2021 15:25:11,63554158507
644311306,ADA/USD,0.000073,1.043,-7.3e-8,0.10%,ADA,16-03-2021 10:19:43,60636678420
644311295,ADA/USD,903.8305,1.043,-0.9038305,0.10%,ADA,16-03-2021 10:19:36,60636678420
641939306,DOG/USD,-0.00000254,60000,-0.0001524,0.10%,USD,13-03-2021 19:48:22,60292273379
641939305,DOG/USD,-0.00857,60000,-0.5142,0.10%,USD,13-03-2021 19:48:22,60292273379
641939304,DOG/USD,-0.00715346,60000,-0.4292076,0.10%,USD,13-03-2021 19:48:22,60292273379
627013626,IOT/BTC,500,0.00002436,-0.5,0.10%,IOT,25-02-2021 11:12:17,59462923360
627052555,XRP/BTC,-999,0.00000939,-0.00000938,0.10%,BTC,25-02-2021 11:07:26,59466984545
604247371,DOG/BTC,0.00027582,1.82,-2.8e-7,0.10%,DOG,08-02-2021 18:38:57,58259161592
604247368,DOG/BTC,0.00472418,1.82,-0.00000472,0.10%,DOG,08-02-2021 18:38:44,58259161592
602562695,BTC/USD,0.012821,39096,-0.00002564,0.20%,BTC,07-02-2021 12:02:15,58184186690
602542860,XRP/USD,850,0.43801,-0.85,0.10%,XRP,07-02-2021 11:49:12,58181710097
602542856,XRP/USD,150,0.43801,-0.15,0.10%,XRP,07-02-2021 11:48:23,58181710097
601912605,DOG/USD,-0.01,54000,-0.54,0.10%,USD,06-02-2021 20:59:48,58142007290
601923794,BTC/USD,-0.01,40068,-0.80136,0.20%,USD,06-02-2021 20:11:13,58140493809
601335144,DOG/BTC,-0.015,1.3,-0.0000195,0.10%,BTC,06-02-2021 04:58:11,58065122071
599578856,DOG/BTC,0.035767,1.3979,-0.00003577,0.10%,DOG,04-02-2021 14:27:45,58006633272
571063393,IOT/BTC,999.59929376,0.00001062,-1.99919859,0.20%,IOT,10-01-2021 11:17:52,56250537371
571063392,IOT/BTC,408.41465893,0.00001062,-0.81682932,0.20%,IOT,10-01-2021 11:17:52,56250537371
571063391,IOT/BTC,8,0.00001062,-0.016,0.20%,IOT,10-01-2021 11:17:52,56250537371
571063390,IOT/BTC,1911.5657359,0.00001061,-3.82313147,0.20%,IOT,10-01-2021 11:17:52,56250537371
571063389,IOT/BTC,7.750547,0.00001061,-0.01550109,0.20%,IOT,10-01-2021 11:17:52,56250537371
571063388,IOT/BTC,434.18293732,0.00001059,-0.86836587,0.20%,IOT,10-01-2021 11:17:52,56250537371
460212185,ETC/BTC,-19.628556,0.00065668,-0.00002578,0.20%,BTC,18-06-2020 14:43:22,46603885846
460200279,IOT/BTC,-771.91666666,0.00002386,-0.00001842,0.10%,BTC,18-06-2020 14:10:25,46605464712
460200278,IOT/BTC,-227.08333334,0.00002386,-0.00000542,0.10%,BTC,18-06-2020 14:10:25,46605464712
433202646,BTC/USD,0.14563331,7051.5,-0.00029127,0.20%,BTC,06-04-2020 06:35:24,43106751402
