Date,Type,Exchange,Base Amount,Base Currency,Quote Amount,Quote Currency,Fee,Fee Currency
08/22/2021 13:05:13,CashOut,Lykke,-2.51,ETH,,,0.01,ETH
08/22/2021 12:30:58,CashOut,Lykke,-0.51,ETH,,,0.01,ETH
08/22/2021 12:30:06,CashOut,Lykke,-0.0505,BTC,,,0.0005,BTC
06/22/2021 12:39:19,Trade,Lykke,0.45566111,ETH,-820.1899,USD,0,
06/22/2021 12:39:19,Trade,Lykke,0.3,ETH,-540,USD,0,
05/16/2021 19:54:03,Trade,Lykke,0.09067933,BTC,-4080.5698,USD,0,
05/13/2021 19:02:45,Trade,Lykke,2014.7593984,XLM,-0.02647394,BTC,0,
05/13/2021 18:35:10,CashOut,Lykke,-2.005,ETH,,,0.005,ETH
04/26/2021 11:53:20,CashOut,Lykke,-0.1005,BTC,,,0.0005,BTC
04/26/2021 11:27:35,Trade,Lykke,0.00992236,BTC,-531.5209,USD,0,
04/26/2021 11:27:33,Trade,Lykke,0.00164994,BTC,-88.3839,USD,0,
04/26/2021 11:08:58,Trade,Lykke,0.0076753,BTC,-411.1504,USD,0,
04/26/2021 11:08:58,Trade,Lykke,0.001019,BTC,-54.5857,USD,0,
04/26/2021 11:08:58,Trade,Lykke,0.03079954,BTC,-1649.8697,USD,0,
04/26/2021 11:07:32,Trade,Lykke,0.0325502,BTC,-1743.6491,USD,0,
04/26/2021 11:06:27,Trade,Lykke,0.004046,BTC,-216.7361,USD,0,
04/26/2021 11:05:35,Trade,Lykke,0.004327,BTC,-231.7887,USD,0,
04/26/2021 11:05:31,Trade,Lykke,0.004628,BTC,-247.9127,USD,0,
04/26/2021 11:05:27,Trade,Lykke,0.00495,BTC,-265.1616,USD,0,
04/26/2021 11:04:46,Trade,Lykke,375.376,USD,-344.9667,CHF,0,
04/26/2021 11:04:45,Trade,Lykke,1251.2932,USD,-1149.9259,CHF,0,
04/26/2021 11:04:45,Trade,Lykke,1249.0184,USD,-1147.8354,CHF,0,
